State,Year,Education Level of Mother,Education_Level_Code,Number_of_Births,Average_Age_of_Mother
Montana,2021,"Associate degree (AA, AS)",5,547,29.8
Montana,2021,"Some college credit, but not a degree",4,1120,28.6
Montana,2021,"Some college credit, but not a degree",4,1150,28.6
Montana,2021,High school graduate or GED completed,3,1418,26.6
Montana,2021,High school graduate or GED completed,3,1514,26.4
Montana,2021,9th through 12th grade with no diploma,2,416,23.9
Montana,2021,9th through 12th grade with no diploma,2,394,24
Montana,2021,8th grade or less,1,129,27.3
Montana,2021,8th grade or less,1,91,27.6
Nebraska,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,404,33
Nebraska,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,385,32.6
Nebraska,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1190,32
Nebraska,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1297,31.8
Nebraska,2016,"Bachelor's degree (BA, AB, BS)",6,3199,30.5
Nebraska,2016,"Bachelor's degree (BA, AB, BS)",6,3305,30.6
Nebraska,2016,"Associate degree (AA, AS)",5,1329,29.6
Nebraska,2016,"Associate degree (AA, AS)",5,1423,29.6
Nebraska,2016,"Some college credit, but not a degree",4,2932,27.4
Nebraska,2016,"Some college credit, but not a degree",4,2981,27.3
Nebraska,2016,High school graduate or GED completed,3,2393,26.1
Nebraska,2016,High school graduate or GED completed,3,2549,25.9
Nebraska,2016,9th through 12th grade with no diploma,2,1031,24.6
Nebraska,2016,9th through 12th grade with no diploma,2,1017,25.1
Nebraska,2016,8th grade or less,1,592,30
Nebraska,2016,8th grade or less,1,547,29.4
Nebraska,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,364,32.6
Nebraska,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,385,32.4
Nebraska,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1202,31.9
Nebraska,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1222,32
Nebraska,2017,"Bachelor's degree (BA, AB, BS)",6,2995,30.4
Nebraska,2017,"Bachelor's degree (BA, AB, BS)",6,3148,30.6
Nebraska,2017,"Associate degree (AA, AS)",5,1274,29.8
Nebraska,2017,"Associate degree (AA, AS)",5,1400,29.6
Nebraska,2017,"Some college credit, but not a degree",4,2794,27.4
Nebraska,2017,"Some college credit, but not a degree",4,2867,27.2
Nebraska,2017,High school graduate or GED completed,3,2442,26
Nebraska,2017,High school graduate or GED completed,3,2500,26
Nebraska,2017,9th through 12th grade with no diploma,2,994,25.4
Nebraska,2017,9th through 12th grade with no diploma,2,1066,25.4
Nebraska,2017,8th grade or less,1,543,29.8
Nebraska,2017,8th grade or less,1,613,30.1
Nebraska,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,391,32.9
Nebraska,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,408,33.2
Nebraska,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1209,32.1
Nebraska,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1272,32
Nebraska,2018,"Bachelor's degree (BA, AB, BS)",6,3113,30.7
Nebraska,2018,"Bachelor's degree (BA, AB, BS)",6,3204,30.6
Nebraska,2018,"Associate degree (AA, AS)",5,1298,29.9
Nebraska,2018,"Associate degree (AA, AS)",5,1376,29.7
Nebraska,2018,"Some college credit, but not a degree",4,2552,27.6
Nebraska,2018,"Some college credit, but not a degree",4,2742,27.4
Nebraska,2018,High school graduate or GED completed,3,2363,26.1
Nebraska,2018,High school graduate or GED completed,3,2527,26.2
Nebraska,2018,9th through 12th grade with no diploma,2,983,25.2
Nebraska,2018,9th through 12th grade with no diploma,2,982,25.8
Nebraska,2018,8th grade or less,1,506,29.6
Nebraska,2018,8th grade or less,1,532,30.2
Nebraska,2018,Unknown or Not Stated,0,18,28.6
Nebraska,2018,Unknown or Not Stated,0,12,34.6
Nebraska,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,386,32.8
Nebraska,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,393,32.8
Nebraska,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1252,32.2
Nebraska,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1207,32.1
Nebraska,2019,"Bachelor's degree (BA, AB, BS)",6,2990,30.7
Nebraska,2019,"Bachelor's degree (BA, AB, BS)",6,3116,30.7
Nebraska,2019,"Associate degree (AA, AS)",5,1205,29.7
Nebraska,2019,"Associate degree (AA, AS)",5,1263,30
Nebraska,2019,"Some college credit, but not a degree",4,2523,27.7
Nebraska,2019,"Some college credit, but not a degree",4,2644,27.6
Nebraska,2019,High school graduate or GED completed,3,2362,26.2
Nebraska,2019,High school graduate or GED completed,3,2511,26.3
Nebraska,2019,9th through 12th grade with no diploma,2,852,25
Nebraska,2019,9th through 12th grade with no diploma,2,887,25.1
Nebraska,2019,8th grade or less,1,542,29.4
Nebraska,2019,8th grade or less,1,589,30.3
Nebraska,2019,Unknown or Not Stated,0,15,27.6
Nebraska,2019,Unknown or Not Stated,0,18,29.3
Nebraska,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,395,32.6
Nebraska,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,410,33.2
Nebraska,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1223,32.1
Nebraska,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1214,32.2
Nebraska,2020,"Bachelor's degree (BA, AB, BS)",6,3018,30.7
Nebraska,2020,"Bachelor's degree (BA, AB, BS)",6,3102,30.6
Nebraska,2020,"Associate degree (AA, AS)",5,1157,30.2
Nebraska,2020,"Associate degree (AA, AS)",5,1249,30
Nebraska,2020,"Some college credit, but not a degree",4,2408,27.9
Nebraska,2020,"Some college credit, but not a degree",4,2444,27.8
Nebraska,2020,High school graduate or GED completed,3,2313,26.3
Nebraska,2020,High school graduate or GED completed,3,2494,26.4
Nebraska,2020,9th through 12th grade with no diploma,2,864,25.4
Nebraska,2020,9th through 12th grade with no diploma,2,870,25.7
Nebraska,2020,8th grade or less,1,542,29.9
Nebraska,2020,8th grade or less,1,556,29.6
Nebraska,2020,Unknown or Not Stated,0,19,29.6
Nebraska,2020,Unknown or Not Stated,0,13,30.2
Nebraska,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,402,33
Nebraska,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,416,32.9
Nebraska,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1225,32.1
Nebraska,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1370,31.8
Nebraska,2021,"Bachelor's degree (BA, AB, BS)",6,3096,30.6
Nebraska,2021,"Bachelor's degree (BA, AB, BS)",6,3200,30.8
Nebraska,2021,"Associate degree (AA, AS)",5,1166,30.1
Nebraska,2021,"Associate degree (AA, AS)",5,1270,29.9
Nebraska,2021,"Some college credit, but not a degree",4,2376,28.1
Nebraska,2021,"Some college credit, but not a degree",4,2503,27.8
Nebraska,2021,High school graduate or GED completed,3,2382,26.5
Nebraska,2021,High school graduate or GED completed,3,2460,26.5
Nebraska,2021,9th through 12th grade with no diploma,2,812,24.6
Nebraska,2021,9th through 12th grade with no diploma,2,849,25.4
Nebraska,2021,8th grade or less,1,524,30.3
Nebraska,2021,8th grade or less,1,526,30.3
Nebraska,2021,Unknown or Not Stated,0,15,32.9
Nebraska,2021,Unknown or Not Stated,0,17,32.9
Nevada,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,234,34.4
Nevada,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,251,34
Nevada,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,779,33
Nevada,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,860,33.1
Nevada,2016,"Bachelor's degree (BA, AB, BS)",6,2470,31.7
Nevada,2016,"Bachelor's degree (BA, AB, BS)",6,2542,31.5
Nevada,2016,"Associate degree (AA, AS)",5,1275,30.1
Nevada,2016,"Associate degree (AA, AS)",5,1379,30.1
Nevada,2016,"Some college credit, but not a degree",4,3888,28.2
Nevada,2016,"Some college credit, but not a degree",4,4156,28.5
Nevada,2016,High school graduate or GED completed,3,5489,26.7
Nevada,2016,High school graduate or GED completed,3,5550,26.8
Nevada,2016,9th through 12th grade with no diploma,2,2797,25.7
Nevada,2016,9th through 12th grade with no diploma,2,2858,26.1
Nevada,2016,8th grade or less,1,415,30.7
Nevada,2016,8th grade or less,1,468,30.6
Nevada,2016,Unknown or Not Stated,0,431,28.5
Nevada,2016,Unknown or Not Stated,0,418,28.4
Nevada,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,234,34.1
Nevada,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,245,34.1
Nevada,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,771,33
Nevada,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,830,33.1
Nevada,2017,"Bachelor's degree (BA, AB, BS)",6,2391,31.7
Nevada,2017,"Bachelor's degree (BA, AB, BS)",6,2458,31.6
Nevada,2017,"Associate degree (AA, AS)",5,1295,30.3
Nevada,2017,"Associate degree (AA, AS)",5,1369,30
Nevada,2017,"Some college credit, but not a degree",4,3815,28.6
Nevada,2017,"Some college credit, but not a degree",4,3984,28.5
Nevada,2017,High school graduate or GED completed,3,5501,26.9
Nevada,2017,High school graduate or GED completed,3,5789,26.8
Nevada,2017,9th through 12th grade with no diploma,2,2557,25.9
Nevada,2017,9th through 12th grade with no diploma,2,2620,26.1
Nevada,2017,8th grade or less,1,427,30.9
Nevada,2017,8th grade or less,1,431,31.2
Nevada,2017,Unknown or Not Stated,0,488,28.4
Nevada,2017,Unknown or Not Stated,0,551,28.5
Nevada,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,242,34.4
Nevada,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,283,34.4
Nevada,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,839,33.3
Nevada,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,870,33.1
Nevada,2018,"Bachelor's degree (BA, AB, BS)",6,2507,31.8
Nevada,2018,"Bachelor's degree (BA, AB, BS)",6,2589,31.8
Nevada,2018,"Associate degree (AA, AS)",5,1258,30.4
Nevada,2018,"Associate degree (AA, AS)",5,1340,30.2
Nevada,2018,"Some college credit, but not a degree",4,3712,28.7
Nevada,2018,"Some college credit, but not a degree",4,3945,28.6
Nevada,2018,High school graduate or GED completed,3,5661,26.9
Nevada,2018,High school graduate or GED completed,3,6038,27
Nevada,2018,9th through 12th grade with no diploma,2,2366,26.3
Nevada,2018,9th through 12th grade with no diploma,2,2460,26.2
Nevada,2018,8th grade or less,1,416,31.4
Nevada,2018,8th grade or less,1,413,31.4
Nevada,2018,Unknown or Not Stated,0,369,28.7
Nevada,2018,Unknown or Not Stated,0,374,29.1
Nevada,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,253,34.5
Nevada,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,276,33.8
Nevada,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,830,33.3
Nevada,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,890,33.1
Nevada,2019,"Bachelor's degree (BA, AB, BS)",6,2469,31.9
Nevada,2019,"Bachelor's degree (BA, AB, BS)",6,2601,31.7
Nevada,2019,"Associate degree (AA, AS)",5,1275,30.5
Nevada,2019,"Associate degree (AA, AS)",5,1386,30.3
Nevada,2019,"Some college credit, but not a degree",4,3600,28.9
Nevada,2019,"Some college credit, but not a degree",4,3817,28.9
Nevada,2019,High school graduate or GED completed,3,5414,27.1
Nevada,2019,High school graduate or GED completed,3,5854,27
Nevada,2019,9th through 12th grade with no diploma,2,2203,26.5
Nevada,2019,9th through 12th grade with no diploma,2,2301,26.4
Nevada,2019,8th grade or less,1,386,31.5
Nevada,2019,8th grade or less,1,394,31.2
Nevada,2019,Unknown or Not Stated,0,522,28
Nevada,2019,Unknown or Not Stated,0,601,28.4
Nevada,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,252,34.1
Nevada,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,270,34.5
Nevada,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,811,33.6
Nevada,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,869,33.4
Nevada,2020,"Bachelor's degree (BA, AB, BS)",6,2425,31.9
Nevada,2020,"Bachelor's degree (BA, AB, BS)",6,2685,31.8
Nevada,2020,"Associate degree (AA, AS)",5,1278,30.4
Nevada,2020,"Associate degree (AA, AS)",5,1320,30.4
Nevada,2020,"Some college credit, but not a degree",4,3384,29.1
Nevada,2020,"Some college credit, but not a degree",4,3656,28.8
Nevada,2020,High school graduate or GED completed,3,5423,27
Nevada,2020,High school graduate or GED completed,3,5528,27.2
Nevada,2020,9th through 12th grade with no diploma,2,2027,27
Nevada,2020,9th through 12th grade with no diploma,2,2052,26.4
Nevada,2020,8th grade or less,1,293,31.6
Nevada,2020,8th grade or less,1,316,30.9
Nevada,2020,Unknown or Not Stated,0,510,28.9
Nevada,2020,Unknown or Not Stated,0,554,28.6
Nevada,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,261,34.2
Nevada,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,283,34.4
Nevada,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,930,33.4
Nevada,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,962,33.2
Nevada,2021,"Bachelor's degree (BA, AB, BS)",6,2634,31.8
Nevada,2021,"Bachelor's degree (BA, AB, BS)",6,2665,31.9
Nevada,2021,"Associate degree (AA, AS)",5,1219,30.9
Nevada,2021,"Associate degree (AA, AS)",5,1318,30.6
Nevada,2021,"Some college credit, but not a degree",4,3527,29.2
Nevada,2021,"Some college credit, but not a degree",4,3582,29.2
Nevada,2021,High school graduate or GED completed,3,5481,27.3
Nevada,2021,High school graduate or GED completed,3,5692,27.2
Nevada,2021,9th through 12th grade with no diploma,2,1858,26.8
Nevada,2021,9th through 12th grade with no diploma,2,1964,26.7
Nevada,2021,8th grade or less,1,236,31.9
Nevada,2021,8th grade or less,1,277,31.5
Nevada,2021,Unknown or Not Stated,0,390,29.1
Nevada,2021,Unknown or Not Stated,0,407,28.7
New Hampshire,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,166,33.6
New Hampshire,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,210,33.8
New Hampshire,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,863,32.6
New Hampshire,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,937,32.6
New Hampshire,2016,"Bachelor's degree (BA, AB, BS)",6,1442,31.4
New Hampshire,2016,"Bachelor's degree (BA, AB, BS)",6,1575,31.6
New Hampshire,2016,"Associate degree (AA, AS)",5,496,30.5
New Hampshire,2016,"Associate degree (AA, AS)",5,595,30.2
New Hampshire,2016,"Some college credit, but not a degree",4,1248,28.1
New Hampshire,2016,"Some college credit, but not a degree",4,1305,28.6
New Hampshire,2016,High school graduate or GED completed,3,1242,26.7
New Hampshire,2016,High school graduate or GED completed,3,1373,26.6
New Hampshire,2016,9th through 12th grade with no diploma,2,313,24.9
New Hampshire,2016,9th through 12th grade with no diploma,2,343,24.7
New Hampshire,2016,8th grade or less,1,51,30.2
New Hampshire,2016,8th grade or less,1,35,29
New Hampshire,2016,Unknown or Not Stated,0,34,29.4
New Hampshire,2016,Unknown or Not Stated,0,39,31
New Hampshire,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,198,34.1
New Hampshire,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,194,34.4
New Hampshire,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,847,32.8
New Hampshire,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,867,32.8
New Hampshire,2017,"Bachelor's degree (BA, AB, BS)",6,1593,31.3
New Hampshire,2017,"Bachelor's degree (BA, AB, BS)",6,1576,31.4
New Hampshire,2017,"Associate degree (AA, AS)",5,546,30.6
New Hampshire,2017,"Associate degree (AA, AS)",5,612,30.5
New Hampshire,2017,"Some college credit, but not a degree",4,1166,28.4
New Hampshire,2017,"Some college credit, but not a degree",4,1181,28.4
New Hampshire,2017,High school graduate or GED completed,3,1258,26.4
New Hampshire,2017,High school graduate or GED completed,3,1315,26.8
New Hampshire,2017,9th through 12th grade with no diploma,2,290,24.2
New Hampshire,2017,9th through 12th grade with no diploma,2,327,24.8
New Hampshire,2017,8th grade or less,1,44,30.4
New Hampshire,2017,8th grade or less,1,42,28
New Hampshire,2017,Unknown or Not Stated,0,24,30.4
New Hampshire,2017,Unknown or Not Stated,0,36,29.4
New Hampshire,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,210,34.2
New Hampshire,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,189,34
New Hampshire,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,899,32.8
New Hampshire,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,875,32.6
New Hampshire,2018,"Bachelor's degree (BA, AB, BS)",6,1547,31.7
New Hampshire,2018,"Bachelor's degree (BA, AB, BS)",6,1579,31.7
New Hampshire,2018,"Associate degree (AA, AS)",5,515,30.5
New Hampshire,2018,"Associate degree (AA, AS)",5,567,30.9
New Hampshire,2018,"Some college credit, but not a degree",4,1149,28.8
New Hampshire,2018,"Some college credit, but not a degree",4,1233,28.8
New Hampshire,2018,High school graduate or GED completed,3,1285,26.8
New Hampshire,2018,High school graduate or GED completed,3,1229,26.8
New Hampshire,2018,9th through 12th grade with no diploma,2,297,25
New Hampshire,2018,9th through 12th grade with no diploma,2,267,24.2
New Hampshire,2018,8th grade or less,1,49,29.4
New Hampshire,2018,8th grade or less,1,44,28.4
New Hampshire,2018,Unknown or Not Stated,0,27,31.1
New Hampshire,2018,Unknown or Not Stated,0,34,30.4
New Hampshire,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,179,34.8
New Hampshire,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,192,34.1
New Hampshire,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,928,32.7
New Hampshire,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,948,33
New Hampshire,2019,"Bachelor's degree (BA, AB, BS)",6,1560,31.7
New Hampshire,2019,"Bachelor's degree (BA, AB, BS)",6,1581,31.6
New Hampshire,2019,"Associate degree (AA, AS)",5,522,30.7
New Hampshire,2019,"Associate degree (AA, AS)",5,551,30.7
New Hampshire,2019,"Some college credit, but not a degree",4,1096,28.9
New Hampshire,2019,"Some college credit, but not a degree",4,1169,28.8
New Hampshire,2019,High school graduate or GED completed,3,1148,26.8
New Hampshire,2019,High school graduate or GED completed,3,1275,26.8
New Hampshire,2019,9th through 12th grade with no diploma,2,264,25.5
New Hampshire,2019,9th through 12th grade with no diploma,2,284,25.2
New Hampshire,2019,8th grade or less,1,30,30.1
New Hampshire,2019,8th grade or less,1,35,30
New Hampshire,2019,Unknown or Not Stated,0,32,31.6
New Hampshire,2019,Unknown or Not Stated,0,45,33.4
New Hampshire,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,203,34.4
New Hampshire,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,203,34.2
New Hampshire,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,877,32.8
New Hampshire,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,951,33.2
New Hampshire,2020,"Bachelor's degree (BA, AB, BS)",6,1579,31.8
New Hampshire,2020,"Bachelor's degree (BA, AB, BS)",6,1602,31.7
New Hampshire,2020,"Associate degree (AA, AS)",5,501,30.5
New Hampshire,2020,"Associate degree (AA, AS)",5,528,30.7
New Hampshire,2020,"Some college credit, but not a degree",4,1038,29.1
New Hampshire,2020,"Some college credit, but not a degree",4,1159,29.2
New Hampshire,2020,High school graduate or GED completed,3,1215,27
New Hampshire,2020,High school graduate or GED completed,3,1248,27.1
New Hampshire,2020,9th through 12th grade with no diploma,2,299,25.6
New Hampshire,2020,9th through 12th grade with no diploma,2,262,25.1
New Hampshire,2020,8th grade or less,1,31,28.2
New Hampshire,2020,8th grade or less,1,34,30.5
New Hampshire,2020,Unknown or Not Stated,0,25,32
New Hampshire,2020,Unknown or Not Stated,0,36,30.4
New Hampshire,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,224,33.8
New Hampshire,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,239,34.4
New Hampshire,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1027,33.1
New Hampshire,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1117,33
New Hampshire,2021,"Bachelor's degree (BA, AB, BS)",6,1726,31.7
New Hampshire,2021,"Bachelor's degree (BA, AB, BS)",6,1833,31.8
New Hampshire,2021,"Associate degree (AA, AS)",5,540,30.8
New Hampshire,2021,"Associate degree (AA, AS)",5,575,31
New Hampshire,2021,"Some college credit, but not a degree",4,1070,29.6
New Hampshire,2021,"Some college credit, but not a degree",4,1109,29.4
New Hampshire,2021,High school graduate or GED completed,3,1203,27.5
New Hampshire,2021,High school graduate or GED completed,3,1303,27.6
New Hampshire,2021,9th through 12th grade with no diploma,2,262,25.2
New Hampshire,2021,9th through 12th grade with no diploma,2,265,25.7
New Hampshire,2021,8th grade or less,1,38,29.6
New Hampshire,2021,8th grade or less,1,34,28.5
New Hampshire,2021,Unknown or Not Stated,0,26,32.2
New Hampshire,2021,Unknown or Not Stated,0,34,29.3
New Jersey,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1737,34.2
New Jersey,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1810,34.2
New Jersey,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,7656,33
New Jersey,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,8096,32.9
New Jersey,2016,"Bachelor's degree (BA, AB, BS)",6,13038,32.2
New Jersey,2016,"Bachelor's degree (BA, AB, BS)",6,13567,32
New Jersey,2016,"Associate degree (AA, AS)",5,3418,30.9
New Jersey,2016,"Associate degree (AA, AS)",5,3582,30.7
New Jersey,2016,"Some college credit, but not a degree",4,6776,29
New Jersey,2016,"Some college credit, but not a degree",4,7210,29.2
New Jersey,2016,High school graduate or GED completed,3,11553,27.9
New Jersey,2016,High school graduate or GED completed,3,12119,28
New Jersey,2016,9th through 12th grade with no diploma,2,3486,26.3
New Jersey,2016,9th through 12th grade with no diploma,2,3602,26.2
New Jersey,2016,8th grade or less,1,2162,30.2
New Jersey,2016,8th grade or less,1,2308,30
New Jersey,2016,Unknown or Not Stated,0,255,30.9
New Jersey,2016,Unknown or Not Stated,0,272,30.7
New Jersey,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1727,34.3
New Jersey,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1737,34.2
New Jersey,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,7569,33
New Jersey,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,8047,33
New Jersey,2017,"Bachelor's degree (BA, AB, BS)",6,12960,32.2
New Jersey,2017,"Bachelor's degree (BA, AB, BS)",6,13866,32.2
New Jersey,2017,"Associate degree (AA, AS)",5,3431,30.9
New Jersey,2017,"Associate degree (AA, AS)",5,3623,30.7
New Jersey,2017,"Some college credit, but not a degree",4,6530,29.2
New Jersey,2017,"Some college credit, but not a degree",4,6965,29.2
New Jersey,2017,High school graduate or GED completed,3,11471,28.1
New Jersey,2017,High school graduate or GED completed,3,12002,28
New Jersey,2017,9th through 12th grade with no diploma,2,3106,26.6
New Jersey,2017,9th through 12th grade with no diploma,2,3348,26.6
New Jersey,2017,8th grade or less,1,2070,30.2
New Jersey,2017,8th grade or less,1,2117,30.1
New Jersey,2017,Unknown or Not Stated,0,306,30.8
New Jersey,2017,Unknown or Not Stated,0,375,30.7
New Jersey,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1727,34.1
New Jersey,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1842,34.3
New Jersey,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,7796,33.2
New Jersey,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,8105,33.2
New Jersey,2018,"Bachelor's degree (BA, AB, BS)",6,13177,32.3
New Jersey,2018,"Bachelor's degree (BA, AB, BS)",6,13652,32.3
New Jersey,2018,"Associate degree (AA, AS)",5,3299,31
New Jersey,2018,"Associate degree (AA, AS)",5,3529,31
New Jersey,2018,"Some college credit, but not a degree",4,6384,29.3
New Jersey,2018,"Some college credit, but not a degree",4,6610,29.4
New Jersey,2018,High school graduate or GED completed,3,11642,28.2
New Jersey,2018,High school graduate or GED completed,3,12256,28.1
New Jersey,2018,9th through 12th grade with no diploma,2,3141,26.6
New Jersey,2018,9th through 12th grade with no diploma,2,3296,26.4
New Jersey,2018,8th grade or less,1,2067,30.5
New Jersey,2018,8th grade or less,1,2082,30.4
New Jersey,2018,Unknown or Not Stated,0,299,30.7
New Jersey,2018,Unknown or Not Stated,0,319,30.7
New Jersey,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1826,34.4
New Jersey,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1865,34.2
New Jersey,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,7680,33.2
New Jersey,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,8077,33.2
New Jersey,2019,"Bachelor's degree (BA, AB, BS)",6,13048,32.4
New Jersey,2019,"Bachelor's degree (BA, AB, BS)",6,13895,32.3
New Jersey,2019,"Associate degree (AA, AS)",5,3340,31
New Jersey,2019,"Associate degree (AA, AS)",5,3569,31.2
New Jersey,2019,"Some college credit, but not a degree",4,6071,29.5
New Jersey,2019,"Some college credit, but not a degree",4,6434,29.5
New Jersey,2019,High school graduate or GED completed,3,11171,28.2
